Freq(Hz), SPL(dB), Phase(degrees)
349.365, 62.090, -49.983
349.731, 62.085, -49.973
350.098, 62.080, -49.971
350.464, 62.076, -49.975
350.830, 62.069, -49.981
351.196, 62.062, -49.985
351.562, 62.055, -49.983
351.929, 62.048, -49.975
352.295, 62.041, -49.966
352.661, 62.036, -49.959
353.027, 62.030, -49.955
353.394, 62.024, -49.953
353.760, 62.018, -49.951
354.126, 62.011, -49.946
354.492, 62.005, -49.941
354.858, 61.999, -49.936
355.225, 61.994, -49.932
355.591, 61.988, -49.930
355.957, 61.982, -49.927
356.323, 61.976, -49.925
356.689, 61.970, -49.921
357.056, 61.964, -49.916
357.422, 61.958, -49.912
357.788, 61.952, -49.908
358.154, 61.947, -49.904
358.521, 61.941, -49.900
358.887, 61.935, -49.895
359.253, 61.929, -49.891
359.619, 61.923, -49.886
359.985, 61.918, -49.882
360.352, 61.912, -49.877
360.718, 61.906, -49.873
361.084, 61.900, -49.869
361.450, 61.894, -49.865
361.816, 61.889, -49.860
362.183, 61.883, -49.855
362.549, 61.877, -49.850
362.915, 61.871, -49.846
363.281, 61.866, -49.842
363.647, 61.860, -49.838
364.014, 61.854, -49.834
364.380, 61.848, -49.830
364.746, 61.843, -49.824
365.112, 61.837, -49.819
365.479, 61.831, -49.815
365.845, 61.826, -49.812
366.211, 61.820, -49.808
366.577, 61.814, -49.805
366.943, 61.809, -49.800
367.310, 61.803, -49.795
367.676, 61.797, -49.790
368.042, 61.792, -49.785
368.408, 61.786, -49.781
368.774, 61.781, -49.777
369.141, 61.775, -49.773
369.507, 61.770, -49.769
369.873, 61.764, -49.764
370.239, 61.758, -49.759
370.605, 61.753, -49.755
370.972, 61.747, -49.751
371.338, 61.742, -49.746
371.704, 61.736, -49.741
372.070, 61.730, -49.736
372.437, 61.725, -49.732
